"N","Project","Spec","Line","Sig","Error"
"1","public","e2e\no-fsm-overexposure.spec.ts","25","toHaveURL","Error: expect(page).toHaveURL(expected) failed"
"2","public","e2e\no-fsm-overexposure.spec.ts","25","toHaveURL","Error: expect(page).toHaveURL(expected) failed"
"3","public","e2e\no-fsm-overexposure.spec.ts","25","toHaveURL","Error: expect(page).toHaveURL(expected) failed"
"4","member","e2e\member-journey.spec.ts","43","toBeVisible","Error: expect(locator).toBeVisible() failed"
"5","member","e2e\member-journey.spec.ts","49","toBeVisible","Error: expect(locator).toBeVisible() failed"
"6","member","e2e\member-journey.spec.ts","175","toHaveURL","Error: expect(page).toHaveURL(expected) failed"
"7","member","e2e\member-journey.spec.ts","185","toHaveURL","Error: expect(page).toHaveURL(expected) failed"
"8","steward","e2e\permission-boundaries.spec.ts","31","toMatch","Error: expect(received).toMatch(expected)"
"9","steward","e2e\permission-boundaries.spec.ts","40","toMatch","Error: expect(received).toMatch(expected)"
"10","steward","e2e\permission-boundaries.spec.ts","47","toContain","Error: expect(received).toContain(expected) // indexOf"
"11","steward","e2e\permission-boundaries.spec.ts","61","toContain","Error: expect(received).toContain(expected) // indexOf"
"12","steward","e2e\permission-boundaries.spec.ts","72","toContain","Error: expect(received).toContain(expected) // indexOf"
"13","steward","e2e\permission-boundaries.spec.ts","85","apiRequest-timeout-10s (seedOrVerify)","TimeoutError: apiRequestContext.get: Timeout 10000ms exceeded."
"14","steward","tests\e2e\steward-review.spec.ts","14","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"15","staff","tests\e2e\auditor-readonly.spec.ts","14","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"16","staff","tests\e2e\case-escalation.spec.ts","14","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"17","staff","tests\e2e\case-resolution.spec.ts","14","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
