TABLE,SCHEMA_OWNER,CREATION_MIGRATION,MIGRATION_LINEAGE,MIGRATION_ORDER,CURRENT_BOOTSTRAP_INCLUDED,RUNTIME_PRINCIPAL,RUNTIME_PRIVILEGES,RLS_REQUIRED,ACTIVE_RUNTIME_REFERENCE,ACTIVE_RUNTIME_READERS,ACTIVE_RUNTIME_WRITERS,CREATION_LINEAGE_CLASS,CANONICAL_REQUIREMENT,DISPOSITION,STORAGE_AUTHORITY_DOMAIN,DRIZZLE_PROJECTION,DJANGO_MODEL,CREATION_EVIDENCE_FILES
account_mappings,DJANGO_OWNED,apps/union-eyes/backend/billing/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT,true,false,0,0,DJANGO_CANONICAL_LINEAGE,REQUIRED,,domains/financial/chart-of-accounts,domains/financial/chart-of-accounts.accountMappings,apps/union-eyes/backend/billing/models.py,apps/union-eyes/backend/billing/migrations/0001_initial.py|apps/union-eyes/db/migrations/1770880372830_consolidate_chart_of_accounts_fixed.sql
ai_clause_reasonings,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql,UNION_EYES_AUDIT_SQL,40,false,tenant,SELECT|INSERT|UPDATE,true,true,1,1,OTHER_GOVERNED_LINEAGE,REQUIRED,,domains/ml/ai-clause-reasoning,domains/ml/ai-clause-reasoning.aiClauseReasonings,,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|scripts/stub-migration.sql
ai_copilot_sessions,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql,UNION_EYES_AUDIT_SQL,40,false,tenant,SELECT|INSERT|UPDATE,true,true,1,1,OTHER_GOVERNED_LINEAGE,REQUIRED,,domains/ml/ai-copilot-sessions,domains/ml/ai-copilot-sessions.aiCopilotSessions,,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|scripts/stub-migration.sql
ai_grievance_triages,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql,UNION_EYES_AUDIT_SQL,40,false,tenant,SELECT|INSERT,true,true,1,1,OTHER_GOVERNED_LINEAGE,REQUIRED,,domains/ml/ai-grievance-triage,domains/ml/ai-grievance-triage.aiGrievanceTriages,,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|scripts/stub-migration.sql
ai_insight_reports,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql,UNION_EYES_AUDIT_SQL,40,false,tenant,SELECT|INSERT,true,true,1,1,OTHER_GOVERNED_LINEAGE,REQUIRED,,domains/ml/ai-insight-reports,domains/ml/ai-insight-reports.aiInsightReports,,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|scripts/stub-migration.sql
ai_safety_filters,DJANGO_OWNED,apps/union-eyes/backend/ai_core/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,INSERT,true,true,0,1,DJANGO_CANONICAL_LINEAGE,REQUIRED,,ai-chatbot-schema,ai-chatbot-schema.aiSafetyFilters|domains/ml/chatbot.aiSafetyFilters,apps/union-eyes/backend/ai_core/models.py,apps/union-eyes/backend/ai_core/migrations/0001_initial.py|apps/union-eyes/db/migrations/0006_flat_stepford_cuckoos.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
ai_usage_metrics,DJANGO_OWNED,apps/union-eyes/backend/ai_core/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT|INSERT,true,true,1,2,DJANGO_CANONICAL_LINEAGE,REQUIRED,,ai-chatbot-schema,ai-chatbot-schema.aiUsageMetrics|domains/ml/chatbot.aiUsageMetrics,apps/union-eyes/backend/ai_core/models.py,apps/union-eyes/backend/ai_core/migrations/0001_initial.py|apps/union-eyes/db/migrations/0079_ai_cost_tracking_phase1.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
alert_executions,DJANGO_OWNED,apps/union-eyes/backend/core/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,mixed,SELECT,true,true,1,1,DJANGO_CANONICAL_LINEAGE,REQUIRED,,alerting-automation-schema,alerting-automation-schema.alertExecutions|domains/infrastructure/alerting.alertExecutions,apps/union-eyes/backend/core/models.py,apps/union-eyes/backend/core/migrations/0001_initial.py|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
alert_rules,DJANGO_OWNED,apps/union-eyes/backend/core/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,mixed,SELECT,true,true,1,1,DJANGO_CANONICAL_LINEAGE,REQUIRED,,alerting-automation-schema,alerting-automation-schema.alertRules|domains/infrastructure/alerting.alertRules,apps/union-eyes/backend/core/models.py,apps/union-eyes/backend/core/migrations/0001_initial.py|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
allocation_basis_snapshots,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations/20260325_dapl_platform_ledger.sql,UNION_EYES_LEGACY_SQL,20,false,tenant,INSERT,true,true,1,1,ACTIVE_SQL_PLATFORM_LINEAGE,REQUIRED,,domains/finance/allocation,domains/finance/allocation.allocationBasisSnapshots,,apps/union-eyes/db/migrations/20260325_dapl_platform_ledger.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|apps/union-eyes/db/migrations-audit/finance-tables.sql|migrations/finance-platform-billing-tables.sql
