npm warn Unknown project config "node-linker". This will stop working in the next major version of npm.

=== DRIZZLE SCHEMA AUDIT ===
Total Drizzle tables: 556
Total staging tables: 676
Tables with column mismatches: 356
Tables missing from staging entirely: 50

--- COLUMN MISMATCHES (staging has fewer cols than Drizzle) ---
TABLE                                          DRIZZLE  STAGING  MISSING  FILE
job_postings                                        49        4       45  cms-website-schema.ts
federation_resources                                49        5       44  domains\federation\federation-schema.ts
public_events                                       43        4       39  cms-website-schema.ts
nlrb_clrb_filings                                   43        4       39  domains\infrastructure\organizing.ts
employer_responses                                  43        4       39  domains\infrastructure\organizing.ts
course_registrations                                44        5       39  domains\scheduling\training.ts
calendar_events                                     41        4       37  calendar-schema.ts
federation_campaigns                                42        5       37  domains\federation\federation-schema.ts
organizing_campaigns                                40        4       36  domains\infrastructure\organizing.ts
course_sessions                                     41        6       35  domains\scheduling\training.ts
federation_communications                           39        5       34  domains\federation\federation-schema.ts
organizing_contacts                                 37        4       33  domains\infrastructure\organizing.ts
grievance_settlements                               38        6       32  domains\claims\workflows.ts
federation_meetings                                 37        5       32  domains\federation\federation-schema.ts
union_representation_votes                          35        4       31  domains\infrastructure\organizing.ts
federation_remittances                              46       16       30  domains\federation\federation-schema.ts
member_employment                                   45       15       30  domains\member\member-employment.ts
accessibility_issues                                33        4       29  accessibility-schema.ts
grievance_deadlines                                 34        5       29  domains\claims\workflows.ts
steward_assignments                                 33        4       29  union-structure-schema.ts
employers                                           33        4       29  union-structure-schema.ts
federations                                         34        5       29  domains\federation\federation-schema.ts
dsr_requests                                        32        4       28  data-governance-schema.ts
federation_executives                               33        5       28  domains\federation\federation-schema.ts
t4a_tax_slips                                       32        4       28  domains\finance\taxes.ts
field_organizer_activities                          32        4       28  domains\infrastructure\organizing.ts
board_packets                                       31        4       27  board-packet-schema.ts
job_applications                                    31        4       27  cms-website-schema.ts
push_notifications                                  31        4       27  domains\communications\push-notifications.ts
signature_documents                                 31        4       27  domains\documents\signatures.ts
federation_memberships                              34        7       27  domains\federation\federation-schema.ts
room_bookings                                       30        4       26  calendar-schema.ts
rl1_tax_slips                                       30        4       26  domains\finance\taxes.ts
social_posts                                        30        4       26  domains\infrastructure\social-media.ts
training_courses                                    39       13       26  domains\scheduling\training.ts
member_certifications                               31        5       26  domains\scheduling\training.ts
meeting_rooms                                       29        4       25  calendar-schema.ts
grievance_documents                                 31        6       25  domains\claims\workflows.ts
newsletter_campaigns                                29        4       25  domains\communications\newsletters.ts
api_integrations                                    29        4       25  integration-schema.ts
committees                                          29        4       25  union-structure-schema.ts
insight_recommendations                             27        4       23  analytics.ts
award_templates                                     27        4       23  award-templates-schema.ts
event_registrations                                 27        4       23  cms-website-schema.ts
campaigns                                           27        4       23  domains\communications\campaigns.ts
wage_benchmarks                                     27        4       23  domains\data\benchmarks.ts
document_signers                                    27        4       23  domains\documents\signatures.ts
payments                                            27        4       23  domains\finance\payments.ts
mobile_devices                                      27        4       23  mobile-devices-schema.ts
bargaining_units                                    27        4       23  union-structure-schema.ts
accessibility_audits                                26        4       22  accessibility-schema.ts
report_delivery_history                             26        4       22  analytics-reporting-schema.ts
donation_campaigns                                  26        4       22  cms-website-schema.ts
defensibility_packs                                 28        6       22  defensibility-packs-schema.ts
disaster_recovery_drills                            27        5       22  domains\compliance\force-majeure.ts
social_accounts                                     26        4       22  domains\infrastructure\social-media.ts
knowledge_base                                      25        4       21  ai-chatbot-schema.ts
calendars                                           25        4       21  calendar-schema.ts
policy_rules                                        25        4       21  policy-engine-schema.ts
role_tenure_history                                 25        4       21  union-structure-schema.ts
donations                                           24        4       20  cms-website-schema.ts
website_settings                                    24        4       20  cms-website-schema.ts
break_glass_system                                  24        4       20  domains\compliance\force-majeure.ts
signature_workflows                                 24        4       20  domains\documents\workflows.ts
strike_fund_disbursements                           24        4       20  domains\finance\taxes.ts
conflict_disclosures                                24        4       20  domains\governance\conflicts.ts
knowledge_base_articles                             24        4       20  domains\infrastructure\support.ts
