              table_name              | col_count 
--------------------------------------+-----------
 ab_test_assignments                  |         7
 ab_test_events                       |         9
 ab_test_variants                     |        10
 ab_tests                             |        16
 access_justification_requests        |        19
 accessibility_audits                 |        27
 accessibility_issues                 |        33
 accessibility_test_suites            |        21
 accessibility_user_testing           |        22
 account_balance_reconciliation       |        14
 account_mappings                     |        14
 accounting_periods                   |        10
 address_change_history               |         9
 address_validation_cache             |        18
 ai_action_runs                       |        12
 ai_actions                           |        19
 ai_apps                              |         6
 ai_budgets                           |        10
 ai_capability_profiles               |        20
 ai_clause_reasonings                 |        24
 ai_copilot_sessions                  |        23
 ai_deployment_routes                 |         7
 ai_deployments                       |        12
 ai_embeddings                        |         9
 ai_grievance_triages                 |        21
 ai_insight_reports                   |        18
 ai_knowledge_ingestion_runs          |         8
 ai_knowledge_sources                 |        11
 ai_models                            |         6
 ai_prompt_versions                   |        13
 ai_prompts                           |         8
 ai_rate_limits                       |         9
 ai_request_payloads                  |         6
 ai_requests                          |        20
 ai_safety_filters                    |        12
 ai_usage_budgets                     |        10
 ai_usage_metrics                     |        16
 alert_actions                        |        10
 alert_conditions                     |        10
 alert_escalations                    |        15
 alert_executions                     |        15
 alert_recipients                     |        10
 alert_rules                          |        20
 analytics_metrics                    |        14
 analytics_scheduled_reports          |        23
 api_access_tokens                    |        19
 api_credentials                      |        10
 api_integrations                     |        29
 approvals                            |        11
 arbitration_decisions                |        38
 arbitration_precedents               |        37
 arbitrations                         |        33
 arbitrator_profiles                  |        23
 arms_length_verification             |        21
 arrears                              |        23
 assets                               |        10
 audit_events                         |        12
 audit_log                            |         7
 audit_logs                           |        26
 auth_group                           |         2
 auth_group_permissions               |         3
 auth_permission                      |         4
 auth_user                            |        11
 auth_user_groups                     |         3
 auth_user_user_permissions           |         3
 automation_commands                  |        12
 automation_events                    |         9
 automation_execution_log             |        15
 automation_rules                     |        21
 automation_schedules                 |         9
 autopay_settings                     |        23
 award_history                        |        20
 award_templates                      |        27
 band_council_consent                 |        18
 band_councils                        |        16
 bank_accounts                        |        19
 bank_of_canada_rates                 |        12
 bank_reconciliation                  |        17
 bank_reconciliations                 |        15
 bank_transactions                    |        17
 bargaining_notes                     |        20
 bargaining_proposals                 |        27
 bargaining_team_members              |        19
 bargaining_units                     |        27
 benchmark_categories                 |        14
 benchmark_data                       |        22
 benefit_comparisons                  |        12
 billing_invoices                     |        15
 billing_payments                     |        12
 billing_subscriptions                |        12
 blind_trust_registry                 |        23
 board_packet_distributions           |        17
 board_packet_sections                |        14
 board_packet_templates               |        13
 board_packets                        |        31
 break_glass_activations              |        30
 break_glass_system                   |        24
 budget_pool                          |        13
 budget_reservations                  |         9
 calendar_events                      |        41
 calendar_sharing                     |        17
 calendars                            |        25
 campaigns                            |        27
 cap_table_snapshots                  |         7
 card_signing_events                  |        24
 case_studies                         |        17
 cba_clauses                          |        23
 cba_contacts                         |        11
 cba_footnotes                        |        13
 cba_version_history                  |         9
 certification_alerts                 |        16
 certification_audit_log              |        12
 certification_compliance_reports     |        18
 certification_types                  |        14
 certifications                       |        10
 chart_of_accounts                    |        40
 chat_messages                        |        15
 chat_sessions                        |        17
 chatbot_analytics                    |        19
 chatbot_suggestions                  |        14
 claim_deadlines                      |        28
 claim_precedent_analysis             |        12
 claim_updates                        |         9
 claims                               |        37
 clause_comparisons                   |        10
 clause_comparisons_history           |         6
 clause_embeddings                    |         4
 clause_library_tags                  |         5
 clc_api_config                       |        26
 clc_bargaining_trends                |        25
 clc_chart_of_accounts                |        18
 clc_oauth_tokens                     |        13
 clc_organization_sync_log            |        12
 clc_per_capita_benchmarks            |        30
 clc_remittance_mapping               |        19
 clc_sync_log                         |        30
