  table_schema   |              table_name              |             column_name              
-----------------+--------------------------------------+--------------------------------------
 public          | ab_test_assignments                  | id
 public          | ab_test_assignments                  | created_at
 public          | ab_test_assignments                  | updated_at
 public          | ab_test_assignments                  | test_id
 public          | ab_test_assignments                  | variant_id
 public          | ab_test_assignments                  | user_id
 public          | ab_test_assignments                  | assigned_at
 public          | ab_test_events                       | id
 public          | ab_test_events                       | created_at
 public          | ab_test_events                       | updated_at
 public          | ab_test_events                       | test_id
 public          | ab_test_events                       | variant_id
 public          | ab_test_events                       | user_id
 public          | ab_test_events                       | event_type
 public          | ab_test_events                       | metadata
 public          | ab_test_events                       | timestamp
 public          | ab_test_variants                     | id
 public          | ab_test_variants                     | created_at
 public          | ab_test_variants                     | updated_at
 public          | ab_test_variants                     | test_id
 public          | ab_test_variants                     | name
 public          | ab_test_variants                     | content
 public          | ab_test_variants                     | weight
 public          | ab_test_variants                     | impressions
 public          | ab_test_variants                     | conversions
 public          | ab_test_variants                     | is_control
 public          | ab_tests                             | id
 public          | ab_tests                             | created_at
 public          | ab_tests                             | updated_at
 public          | ab_tests                             | name
 public          | ab_tests                             | description
 public          | ab_tests                             | type
 public          | ab_tests                             | status
 public          | ab_tests                             | organization_id
 public          | ab_tests                             | start_date
 public          | ab_tests                             | end_date
 public          | ab_tests                             | target_sample_size
 public          | ab_tests                             | current_sample_size
 public          | ab_tests                             | confidence
 public          | ab_tests                             | winner_id
 public          | ab_tests                             | segment_criteria
 public          | ab_tests                             | metadata
 public          | access_justification_requests        | id
 public          | access_justification_requests        | request_date
 public          | access_justification_requests        | requested_by
 public          | access_justification_requests        | requested_by_email
 public          | access_justification_requests        | requested_by_role
 public          | access_justification_requests        | data_type_requested
 public          | access_justification_requests        | justification
 public          | access_justification_requests        | business_purpose
 public          | access_justification_requests        | request_status
 public          | access_justification_requests        | reviewed_by
 public          | access_justification_requests        | reviewed_at
 public          | access_justification_requests        | review_decision
 public          | access_justification_requests        | review_notes
 public          | access_justification_requests        | approval_expiry_date
 public          | access_justification_requests        | access_granted_at
 public          | access_justification_requests        | access_revoked_at
 public          | access_justification_requests        | created_at
 public          | access_justification_requests        | updated_at
 public          | access_justification_requests        | data_type_id
 public          | accessibility_audits                 | id
 public          | accessibility_audits                 | created_at
 public          | accessibility_audits                 | updated_at
 public          | accessibility_audits                 | organization_id
 public          | accessibility_audits                 | audit_name
 public          | accessibility_audits                 | audit_type
 public          | accessibility_audits                 | target_url
 public          | accessibility_audits                 | target_environment
 public          | accessibility_audits                 | wcag_version
